date,ticker,spot_price,implied_vol
2025-06-01,AAPL,86.0,0.2774
2025-06-02,AAPL,86.22,0.307
2025-06-03,AAPL,87.83,0.3396
2025-06-04,AAPL,87.07,0.372
2025-06-05,AAPL,86.16,0.3496
2025-06-06,AAPL,87.6,0.3206
2025-06-07,AAPL,87.32,0.3944
2025-06-08,AAPL,86.36,0.3628
2025-06-09,AAPL,85.8,0.3539
2025-06-10,AAPL,85.16,0.3556
2025-06-11,AAPL,84.87,0.3995
2025-06-12,AAPL,84.29,0.3921
2025-06-13,AAPL,84.02,0.3977
2025-06-14,AAPL,83.98,0.4189
2025-06-15,AAPL,82.75,0.3783
2025-06-16,AAPL,81.56,0.4217
2025-06-17,AAPL,82.4,0.3828
2025-06-18,AAPL,79.92,0.4341
2025-06-19,AAPL,79.77,0.3994
2025-06-20,AAPL,79.12,0.3645
2025-06-21,AAPL,79.56,0.3368
2025-06-22,AAPL,80.62,0.3869
2025-06-23,AAPL,79.5,0.3558
2025-06-24,AAPL,78.69,0.352
2025-06-25,AAPL,79.28,0.3615
2025-06-26,AAPL,77.58,0.3568
2025-06-27,AAPL,78.96,0.351
2025-06-28,AAPL,78.12,0.2926
2025-06-29,AAPL,81.09,0.334
2025-06-30,AAPL,78.63,0.2831
2025-06-01,MSFT,111.27,0.3253
2025-06-02,MSFT,110.74,0.3209
2025-06-03,MSFT,112.4,0.3651
2025-06-04,MSFT,112.34,0.3607
2025-06-05,MSFT,111.49,0.3287
2025-06-06,MSFT,111.99,0.3936
2025-06-07,MSFT,112.25,0.3879
2025-06-08,MSFT,112.34,0.4202
2025-06-09,MSFT,109.31,0.4024
2025-06-10,MSFT,109.39,0.3906
2025-06-11,MSFT,109.94,0.4079
2025-06-12,MSFT,109.51,0.4326
2025-06-13,MSFT,109.51,0.4046
2025-06-14,MSFT,109.44,0.4135
2025-06-15,MSFT,107.82,0.4191
2025-06-16,MSFT,105.8,0.4006
2025-06-17,MSFT,108.03,0.4073
2025-06-18,MSFT,104.27,0.4235
2025-06-19,MSFT,105.0,0.4407
2025-06-20,MSFT,103.98,0.4184
2025-06-21,MSFT,105.56,0.4056
2025-06-22,MSFT,104.78,0.3833
2025-06-23,MSFT,103.98,0.4144
2025-06-24,MSFT,105.45,0.393
2025-06-25,MSFT,103.48,0.3612
2025-06-26,MSFT,102.37,0.3838
2025-06-27,MSFT,103.69,0.3669
2025-06-28,MSFT,103.21,0.3291
2025-06-29,MSFT,104.53,0.3326
2025-06-30,MSFT,104.43,0.314
2025-06-01,AMZN,115.6,0.3963
2025-06-02,AMZN,115.82,0.4237
2025-06-03,AMZN,117.48,0.4237
2025-06-04,AMZN,116.48,0.4172
2025-06-05,AMZN,115.63,0.3853
2025-06-06,AMZN,117.01,0.4284
2025-06-07,AMZN,117.13,0.4228
2025-06-08,AMZN,116.14,0.4476
2025-06-09,AMZN,114.05,0.4261
2025-06-10,AMZN,114.84,0.4527
2025-06-11,AMZN,114.82,0.4522
2025-06-12,AMZN,113.68,0.4561
2025-06-13,AMZN,113.85,0.4598
2025-06-14,AMZN,113.71,0.4701
2025-06-15,AMZN,111.23,0.4798
2025-06-16,AMZN,109.98,0.4241
2025-06-17,AMZN,111.54,0.4254
2025-06-18,AMZN,109.61,0.4638
2025-06-19,AMZN,109.83,0.4632
2025-06-20,AMZN,107.79,0.4664
2025-06-21,AMZN,109.31,0.4425
2025-06-22,AMZN,109.5,0.4507
2025-06-23,AMZN,109.84,0.4456
2025-06-24,AMZN,109.34,0.4201
2025-06-25,AMZN,107.49,0.4461
2025-06-26,AMZN,107.77,0.4198
2025-06-27,AMZN,108.62,0.4172
2025-06-28,AMZN,108.02,0.3972
2025-06-29,AMZN,108.63,0.4272
2025-06-30,AMZN,108.69,0.3863
2025-06-01,SSNLF,82.32,0.4532
2025-06-02,SSNLF,83.04,0.4606
2025-06-03,SSNLF,83.02,0.4933
2025-06-04,SSNLF,83.63,0.5373
2025-06-05,SSNLF,83.14,0.5147
2025-06-06,SSNLF,83.7,0.5673
2025-06-07,SSNLF,84.1,0.5683
2025-06-08,SSNLF,83.22,0.5582
2025-06-09,SSNLF,81.34,0.5668
2025-06-10,SSNLF,81.18,0.5722
2025-06-11,SSNLF,81.25,0.5753
2025-06-12,SSNLF,81.91,0.5693
2025-06-13,SSNLF,79.7,0.5751
2025-06-14,SSNLF,80.2,0.5611
2025-06-15,SSNLF,78.48,0.5394
2025-06-16,SSNLF,78.01,0.6057
2025-06-17,SSNLF,77.97,0.5856
2025-06-18,SSNLF,76.62,0.5803
2025-06-19,SSNLF,75.61,0.5847
2025-06-20,SSNLF,74.84,0.5556
2025-06-21,SSNLF,76.04,0.5466
2025-06-22,SSNLF,76.97,0.5544
2025-06-23,SSNLF,75.57,0.58
2025-06-24,SSNLF,77.43,0.521
2025-06-25,SSNLF,74.85,0.4829
2025-06-26,SSNLF,73.3,0.5155
2025-06-27,SSNLF,75.9,0.5387
2025-06-28,SSNLF,74.61,0.4708
2025-06-29,SSNLF,76.1,0.4712
2025-06-30,SSNLF,75.79,0.4892
2025-06-01,SHEL,112.0,0.3653
2025-06-02,SHEL,112.52,0.3778
2025-06-03,SHEL,114.45,0.4063
2025-06-04,SHEL,113.06,0.4017
2025-06-05,SHEL,111.72,0.4331
2025-06-06,SHEL,112.53,0.4254
2025-06-07,SHEL,111.49,0.4577
2025-06-08,SHEL,112.41,0.426
2025-06-09,SHEL,111.48,0.4451
2025-06-10,SHEL,111.06,0.4653
2025-06-11,SHEL,109.92,0.4429
2025-06-12,SHEL,111.16,0.4431
2025-06-13,SHEL,109.83,0.4498
2025-06-14,SHEL,109.2,0.4497
2025-06-15,SHEL,110.05,0.4763
2025-06-16,SHEL,108.33,0.4292
2025-06-17,SHEL,107.96,0.4336
2025-06-18,SHEL,108.97,0.4997
2025-06-19,SHEL,108.24,0.4445
2025-06-20,SHEL,109.13,0.4584
2025-06-21,SHEL,109.83,0.4191
2025-06-22,SHEL,108.38,0.4442
2025-06-23,SHEL,109.21,0.4205
2025-06-24,SHEL,108.92,0.3954
2025-06-25,SHEL,106.92,0.4444
2025-06-26,SHEL,107.68,0.4318
2025-06-27,SHEL,107.12,0.396
2025-06-28,SHEL,108.69,0.4077
2025-06-29,SHEL,107.67,0.4151
2025-06-30,SHEL,106.91,0.3813
2025-06-01,BP,127.53,0.5053
2025-06-02,BP,126.69,0.5056
2025-06-03,BP,128.23,0.491
2025-06-04,BP,128.11,0.4831
2025-06-05,BP,126.81,0.5048
2025-06-06,BP,126.64,0.5183
2025-06-07,BP,125.69,0.5422
2025-06-08,BP,126.61,0.5498
2025-06-09,BP,125.09,0.5825
2025-06-10,BP,125.53,0.5484
2025-06-11,BP,124.96,0.5377
2025-06-12,BP,124.85,0.5493
2025-06-13,BP,124.13,0.5754
2025-06-14,BP,123.17,0.5636
2025-06-15,BP,123.94,0.5735
2025-06-16,BP,123.67,0.5703
2025-06-17,BP,123.9,0.598
2025-06-18,BP,123.08,0.5642
2025-06-19,BP,123.13,0.5649
2025-06-20,BP,124.28,0.5823
2025-06-21,BP,123.8,0.5511
2025-06-22,BP,123.56,0.5643
2025-06-23,BP,123.88,0.555
2025-06-24,BP,123.21,0.543
2025-06-25,BP,122.15,0.5085
2025-06-26,BP,123.04,0.5462
2025-06-27,BP,121.22,0.556
2025-06-28,BP,121.41,0.5013
2025-06-29,BP,121.55,0.4696
2025-06-30,BP,121.79,0.4803
2025-06-01,XOM,101.45,0.4212
2025-06-02,XOM,101.35,0.4797
